Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,regulation of monocyte chemotaxis (GO:0090025),7/26,0.0007457122486588735,0.0349120649097733,0,0,5.673321234119782,40.85455497092016,GREM1;CXCL10;SERPINE1;CXCL17;S100A14;PLA2G7;S100A7
GO_Biological_Process_2021,cell migration involved in heart development (GO:0060973),4/8,0.0008031408145606347,0.0358518324081194,0,0,15.373464373464374,109.56638078856702,PDGFRB;FLRT3;SNAI2;FOLR1
GO_Biological_Process_2021,positive regulation of astrocyte differentiation (GO:0048711),4/8,0.0008031408145606347,0.0358518324081194,0,0,15.373464373464374,109.56638078856702,BMP2;SERPINE2;ID2;HES1
GO_Biological_Process_2021,regulation of positive chemotaxis (GO:0050926),4/8,0.0008031408145606347,0.0358518324081194,0,0,15.373464373464374,109.56638078856702,ANGPT2;NTRK3;F2RL1;F3
GO_Biological_Process_2021,sequestering of BMP from receptor via BMP binding (GO:0038098),4/8,0.0008031408145606347,0.0358518324081194,0,0,15.373464373464374,109.56638078856702,GREM1;GREM2;BMP2;FSTL1
GO_Biological_Process_2021,cell-substrate junction assembly (GO:0007044),8/34,0.0008399188580999985,0.0370626263936309,0,0,4.740281903798748,33.571649472276306,COL17A1;LAMA3;KRT14;FN1;LAMC2;ITGA6;THY1;RHOD
GO_Biological_Process_2021,innate immune response (GO:0045087),33/302,0.000923715685306883,0.040113076392267,0,0,1.9045744866645045,13.307464268045733,WFDC12;PGLYRP4;CRISP3;IFI6;NLRC5;IFIT1;WFDC5;WFDC2;BPIFA1;TRIM6;DMBT1;CLEC7A;S100A12;PI3;APOL1;SNCA;DDX58;KRT1;MX1;PTK6;ISG15;BST2;CXCL10;MFHAS1;BPIFB1;VNN1;IFI27;KRT16;LCN2;IRF7;TLR3;S100A7;LTF
GO_Biological_Process_2021,response to organic cyclic compound (GO:0014070),11/60,0.0009299462878123898,0.040113076392267,0,0,3.462764347913795,24.171423909894976,FOXA1;PAQR8;ANXA1;TGFB1;HLCS;LRRK2;SLC1A1;IL18;CCL2;TLR3;NKX3-1
GO_Biological_Process_2021,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338),6/20,0.0009598014818448224,0.0409408654311363,0,0,6.595921715692019,45.83363584147479,CLDN11;CLDN10;CLDN4;CLDN8;CLDN23;CLDN7
GO_Biological_Process_2021,negative regulation of proteolysis (GO:0045861),9/43,0.0010006232190676,0.042213104813194,0,0,4.079648800309598,28.178673813753026,CSTB;SERPINB4;ECM1;SERPINE2;CAMK2N1;LRRK2;TIMP2;GAS1;PLAT
GO_Biological_Process_2021,wound healing (GO:0042060),12/70,0.0010315026883373,0.0430428132665981,0,0,3.192483725161327,21.95387612403422,MMP12;EPB41L4B;MACF1;COL3A1;ODAM;NRG1;EPPK1;HPSE;SYTL4;EVPL;PPL;KRT6A
GO_Biological_Process_2021,negative regulation of cartilage development (GO:0061037),5/14,0.0010738905346595,0.0438581464101936,0,0,8.545537340619308,58.421285830594414,GREM1;SNAI2;SOX9;ADAMTS12;PTHLH
GO_Biological_Process_2021,response to UV-A (GO:0070141),5/14,0.0010738905346595,0.0438581464101936,0,0,8.545537340619308,58.421285830594414,CCND1;MMP1;MMP2;MMP9;PPID
GO_Biological_Process_2021,cell-matrix adhesion (GO:0007160),15/100,0.0010974229868864,0.0443474404911277,0,0,2.7258142926592126,18.575853583194053,COL17A1;COL13A1;FN1;THY1;NPNT;ADAMTS12;LYPD5;MSLN;NID2;RHOD;LYVE1;COL3A1;ITGB8;HPSE;CD44
GO_Biological_Process_2021,bicellular tight junction assembly (GO:0070830),10/53,0.0012476836133305,0.049177121618681,0,0,3.5854148722365777,23.97375663307797,CLDN11;CLDN10;AFDN;CLDN4;PARD6B;OCLN;CLDN8;CLDN23;CLDN7;PECAM1
GO_Biological_Process_2021,epidermal cell differentiation (GO:0009913),10/53,0.0012476836133305,0.049177121618681,0,0,3.5854148722365777,23.97375663307797,SCEL;CLIC4;SPRR2G;ANXA1;CDSN;KRT16;AKR1C3;KRT10;EVPL;S100A7
GO_Biological_Process_2021,retina homeostasis (GO:0001895),8/36,0.0012553680434047,0.049177121618681,0,0,4.401220800563446,29.40159189228233,PIGR;TF;CDH3;ZG16B;PIP;KRT1;LYZ;LTF
